From	To	Species	Gene Name
ENSG00000163884	KLF15	Homo sapiens	Kruppel like factor 15(KLF15)
ENSG00000198521	ZNF43	Homo sapiens	zinc finger protein 43(ZNF43)
ENSG00000169946	ZFPM2	Homo sapiens	zinc finger protein, FOG family member 2(ZFPM2)
ENSG00000160685	ZBTB7B	Homo sapiens	zinc finger and BTB domain containing 7B(ZBTB7B)
ENSG00000164330	EBF1	Homo sapiens	early B-cell factor 1(EBF1)
ENSG00000167981	ZNF597	Homo sapiens	zinc finger protein 597(ZNF597)
ENSG00000167800	TBX10	Homo sapiens	T-box 10(TBX10)
ENSG00000249961	TERB1	Homo sapiens	telomere repeat binding bouquet formation protein 1(TERB1)
ENSG00000171223	JUNB	Homo sapiens	JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)
ENSG00000170178	HOXD12	Homo sapiens	homeobox D12(HOXD12)
ENSG00000126778	SIX1	Homo sapiens	SIX homeobox 1(SIX1)
ENSG00000251369	ZNF550	Homo sapiens	zinc finger protein 550(ZNF550)
ENSG00000171425	ZNF581	Homo sapiens	zinc finger protein 581(ZNF581)
ENSG00000185219	ZNF445	Homo sapiens	zinc finger protein 445(ZNF445)
ENSG00000170581	STAT2	Homo sapiens	signal transducer and activator of transcription 2(STAT2)
ENSG00000092607	TBX15	Homo sapiens	T-box 15(TBX15)
ENSG00000104903	LYL1	Homo sapiens	LYL1, basic helix-loop-helix family member(LYL1)
ENSG00000100968	NFATC4	Homo sapiens	nuclear factor of activated T-cells 4(NFATC4)
ENSG00000185404	SP140L	Homo sapiens	SP140 nuclear body protein like(SP140L)
ENSG00000198914	POU3F3	Homo sapiens	POU class 3 homeobox 3(POU3F3)
ENSG00000184939	ZFP90	Homo sapiens	ZFP90 zinc finger protein(ZFP90)
ENSG00000198911	SREBF2	Homo sapiens	sterol regulatory element binding transcription factor 2(SREBF2)
ENSG00000109787	KLF3	Homo sapiens	Kruppel like factor 3(KLF3)
ENSG00000136870	ZNF189	Homo sapiens	zinc finger protein 189(ZNF189)
ENSG00000184937	WT1	Homo sapiens	Wilms tumor 1(WT1)
ENSG00000204060	FOXO6	Homo sapiens	forkhead box O6(FOXO6)
